model,layers_dropped,params,history,run_time
cnn,0,5130,"{'epoch': [0, 1, 2, 3, 4], 'test_accuracy': [0.6615, 0.7549, 0.775, 0.7843, 0.7685], 'test_loss': [1.2966504655066569, 0.8501172983532499, 0.7861799316801084, 0.7407089398734888, 0.8427643982847784], 'total_time': 565.4224102497101}",565.4226770401001
cnn,1,2570,"{'epoch': [0, 1, 2, 3, 4], 'test_accuracy': [0.6462, 0.6731, 0.6984, 0.7111, 0.7203], 'test_loss': [1.102686097287828, 0.9796873862576333, 0.8995744650530967, 0.8495902077407594, 0.8272157455705533], 'total_time': 557.8706164360046}",557.8708908557892
cnn,2,1290,"{'epoch': [0, 1, 2, 3, 4], 'test_accuracy': [0.4861, 0.5068, 0.5306, 0.5468, 0.5596], 'test_loss': [1.5431132126765645, 1.4379592078506567, 1.3757733562190062, 1.3288300409438505, 1.296421536214792], 'total_time': 550.3844890594482}",550.384731054306
vit,0,7690,"{'epoch': [0, 1, 2, 3, 4], 'test_accuracy': [0.7716, 0.8778, 0.9049, 0.9137, 0.9195], 'test_loss': [1.4715468739248385, 0.9629941859822364, 0.6878902752687976, 0.5328168975319832, 0.43814481671448724], 'total_time': 3798.421753168106}",3798.422030687332
vit,4,7690,"{'epoch': [0, 1, 2, 3, 4], 'test_accuracy': [0.4006, 0.5943, 0.6821, 0.7225, 0.7465], 'test_loss': [2.1044578370015334, 1.9011926977497757, 1.7277869229104108, 1.5794575426988542, 1.4525500824497004], 'total_time': 2576.991107225418}",2576.991419315338
vit,8,7690,"{'epoch': [0, 1, 2, 3, 4], 'test_accuracy': [0.2834, 0.3533, 0.3895, 0.4032, 0.4202], 'test_loss': [2.2405626348629117, 2.1818066782252803, 2.128575507242968, 2.080438776380697, 2.0368692928059087], 'total_time': 1362.8324279785156}",1362.832726240158
